회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명,2022년도,2023년도,2024년도,L사회등급,L환경등급,L지배구조등급,L성장성등급,L재무구조등급
고려제강,2240,D0,C0,B+,B+,B0,A0,B+,B0,철강금속,디,씨,비플러스,비플러스,비,에이,비플러스,비
벽산,7210,D0,C0,B+,B+,B+,B0,C0,A0,비금속광물,디,씨,비플러스,비플러스,비플러스,비,씨,에이
명신산업,9900,D0,D0,B+,B+,D0,D0,B+,A0,운수장비,디,디,비플러스,비플러스,디,디,비플러스,에이
지엠비코리아,13870,D0,D0,B+,B0,B0,B+,C0,A0,운수장비,디,디,비플러스,비,비,비플러스,씨,에이
롯데관광개발,32500,D0,D0,B+,B+,A0,B0,B0,D0,일반전기전자,디,디,비플러스,비플러스,에이,비,비,디
남양유업,3920,C0,B0,B+,B0,A0,B0,B0,B+,음식료품,씨,비,비플러스,비,에이,비,비,비플러스
삼천리,4690,C0,C0,B+,B0,A0,B+,A0,C0,전기가스업,씨,씨,비플러스,비,에이,비플러스,에이,씨
성신양회,4980,C0,B0,B+,B+,B0,B0,B+,A0,비금속광물,씨,비,비플러스,비플러스,비,비,비플러스,에이
DN오토모티브,7340,C0,C0,B+,B+,A0,D0,A0,B0,전기전자,씨,씨,비플러스,비플러스,에이,디,에이,비
경동나비엔,9450,C0,B0,B+,B+,A0,A0,B+,B+,전기전자,씨,비,비플러스,비플러스,에이,에이,비플러스,비플러스
SNT홀딩스,36530,C0,B0,B+,B+,D0,D0,B+,B0,기타금융,씨,비,비플러스,비플러스,디,디,비플러스,비
하이브,352820,C0,C0,B+,B+,B+,A0,A0,C0,서비스업,씨,씨,비플러스,비플러스,비플러스,에이,에이,씨
JW중외제약,1060,C0,B+,B+,B0,A0,B+,B0,B+,의약품,씨,비플러스,비플러스,비,에이,비플러스,비,비플러스
부광약품,3000,C0,B+,B+,B0,B+,B0,C0,D0,의약품,씨,비플러스,비플러스,비,비플러스,비,씨,디
세방,4360,C0,B+,B+,B0,B0,A0,B0,C0,운수창고업,씨,비플러스,비플러스,비,비,에이,비,씨
깨끗한나라,4540,C0,B+,B+,B+,B+,D0,C0,C0,종이목재,씨,비플러스,비플러스,비플러스,비플러스,디,씨,씨
DRB동일,4840,C0,B+,B+,B+,C0,B0,B0,B+,화학,씨,비플러스,비플러스,비플러스,씨,비,비,비플러스
한국공항,5430,C0,B+,B+,B+,B+,C0,C0,A0,운수창고업,씨,비플러스,비플러스,비플러스,비플러스,씨,씨,에이
동부건설,5960,C0,B+,B+,B+,B+,B0,B+,D0,건설업,씨,비플러스,비플러스,비플러스,비플러스,비,비플러스,디
대한유화,6650,C0,B+,B+,B0,B0,A0,B+,B+,화학,씨,비플러스,비플러스,비,비,에이,비플러스,비플러스
